"","logFC_limma","P.Value_limma","logFC_edgeR","FDR_edgeR","log2FoldChange_DESeq2","padj_DESeq2"
"Gpr183",0.230321377417902,0.0724107053801129,0.270915956577093,0.360180998699278,0.276066315408417,0.310099951517599
"Asxl2",-0.443083146946589,0.0501110349954817,-0.472813205041601,0.37144861923,-0.468110315604563,0.310099951517599
"Ell3",-0.569466606323029,0.185762244073937,-0.638974284510852,0.361607013005169,-0.635399485775462,0.310290873158755
"Copa",0.283743451170861,0.0837803896820525,0.322020090617024,0.342746828877616,0.326677770245359,0.310376842845295
"Sbf2",-0.957555055730022,0.0542690181531137,-0.981824155452314,0.32720453006353,-0.978805945981326,0.310448310880186
"Lonp2",0.264729517408945,0.0717587159654414,0.30815642163512,0.365710874592769,0.313243698073479,0.310864085976696
"Plekhg3",1.81608649875912,0.0792074164114264,1.92282030206801,0.351653584490818,1.93556008483999,0.310952219779295
"Rars2",0.450409678030701,0.0311182194654375,0.418210314002154,0.386874768817647,0.423302488885397,0.311181363499298
"Jade1",-1.02294096377129,0.0575645894703701,-1.14287775283993,0.349606756440185,-1.13859988008141,0.31146667943062
"Trim13",1.39526255451498,0.0226582962743538,1.29211453694638,0.36560838717777,1.29929740375974,0.311472732789596
"Wasf2",-0.304775338566287,0.0252141251045709,-0.2671264680589,0.331327082427294,-0.26204406440171,0.311609734760149
"Tmem170b",-0.275438332713994,0.0218636920908065,-0.235376730182301,0.310729069705313,-0.230296158690717,0.312218061094956
"Atp6v1c2",-1.54605604724454,0.0768417869014792,-1.7814035818244,0.341460401211793,-1.78063473818263,0.312218061094956
"Nudt7",-1.38273277669187,0.0614999959548436,-1.54974909963015,0.348075753343507,-1.54747287195851,0.312478656940938
